datetime,conditions,quarter
18/4/2001,Partially cloudy,2
19/4/2001,Partially cloudy,2
20/4/2001,"Rain, Partially cloudy",2
21/4/2001,"Rain, Partially cloudy",2
22/4/2001,Clear,2
23/4/2001,Clear,2
24/4/2001,Clear,2
25/4/2001,Clear,2
26/4/2001,Partially cloudy,2
27/4/2001,Partially cloudy,2
28/4/2001,Partially cloudy,2
29/4/2001,Partially cloudy,2
30/4/2001,Partially cloudy,2
1/5/2001,Partially cloudy,2
2/5/2001,Partially cloudy,2
3/5/2001,Clear,2
4/5/2001,Clear,2
5/5/2001,Clear,2
6/5/2001,Clear,2
7/5/2001,Clear,2
8/5/2001,Clear,2
9/5/2001,Clear,2
10/5/2001,Partially cloudy,2
11/5/2001,Partially cloudy,2
12/5/2001,Partially cloudy,2
13/5/2001,"Rain, Partially cloudy",2
14/5/2001,Partially cloudy,2
15/5/2001,Partially cloudy,2
16/5/2001,Partially cloudy,2
17/5/2001,Partially cloudy,2
18/5/2001,Partially cloudy,2
19/5/2001,Partially cloudy,2
20/5/2001,Partially cloudy,2
21/5/2001,Partially cloudy,2
22/5/2001,Partially cloudy,2
23/5/2001,Partially cloudy,2
24/5/2001,Partially cloudy,2
25/5/2001,Partially cloudy,2
26/5/2001,Partially cloudy,2
27/5/2001,Partially cloudy,2
28/5/2001,Partially cloudy,2
29/5/2001,Clear,2
30/5/2001,Partially cloudy,2
31/5/2001,Partially cloudy,2
1/6/2001,Partially cloudy,2
2/6/2001,Partially cloudy,2
3/6/2001,Partially cloudy,2
4/6/2001,Partially cloudy,2
5/6/2001,Partially cloudy,2
6/6/2001,Partially cloudy,2
7/6/2001,Partially cloudy,2
8/6/2001,Partially cloudy,2
9/6/2001,Partially cloudy,2
10/6/2001,Partially cloudy,2
11/6/2001,Partially cloudy,2
12/6/2001,Partially cloudy,2
13/6/2001,Partially cloudy,2
14/6/2001,Clear,2
15/6/2001,Partially cloudy,2
16/6/2001,Clear,2
17/6/2001,Partially cloudy,2
18/6/2001,Partially cloudy,2
19/6/2001,Partially cloudy,2
20/6/2001,Partially cloudy,2
21/6/2001,Partially cloudy,2
22/6/2001,Partially cloudy,2
23/6/2001,Partially cloudy,2
24/6/2001,Partially cloudy,2
25/6/2001,Clear,2
26/6/2001,Partially cloudy,2
27/6/2001,Clear,2
28/6/2001,Clear,2
29/6/2001,Partially cloudy,2
